timestamp,server,total_memory_mb,used_memory_mb,free_memory_mb,memory_utilization_percent
2025-01-01 00:00:00,server-3,32768,13964,18803,42.62
2025-01-01 00:05:00,server-3,32768,14350,18417,43.79
2025-01-01 00:10:00,server-3,32768,19310,13457,58.93
2025-01-01 00:15:00,server-3,32768,22798,9969,69.58
2025-01-01 00:20:00,server-3,32768,12296,20471,37.52
2025-01-01 00:25:00,server-3,32768,19661,13106,60.0
2025-01-01 00:30:00,server-3,32768,19574,13193,59.74
2025-01-01 00:35:00,server-3,32768,25848,6919,78.88
2025-01-01 00:40:00,server-3,32768,20037,12730,61.15
2025-01-01 00:45:00,server-3,32768,22554,10213,68.83
2025-01-01 00:50:00,server-3,32768,21762,11005,66.41
2025-01-01 00:55:00,server-3,32768,14317,18450,43.69
2025-01-01 01:00:00,server-3,32768,23816,8951,72.68
2025-01-01 01:05:00,server-3,32768,22005,10762,67.15
2025-01-01 01:10:00,server-3,32768,22964,9803,70.08
2025-01-01 01:15:00,server-3,32768,31129,1638,95.0
2025-01-01 01:20:00,server-3,32768,14469,18298,44.16
2025-01-01 01:25:00,server-3,32768,26950,5817,82.25
2025-01-01 01:30:00,server-3,32768,20357,12410,62.13
2025-01-01 01:35:00,server-3,32768,22240,10527,67.87
2025-01-01 01:40:00,server-3,32768,21150,11617,64.54
2025-01-01 01:45:00,server-3,32768,19909,12858,60.76
2025-01-01 01:50:00,server-3,32768,19431,13336,59.3
2025-01-01 01:55:00,server-3,32768,22378,10389,68.3
2025-01-01 02:00:00,server-3,32768,16327,16440,49.83
2025-01-01 02:05:00,server-3,32768,23758,9009,72.51
2025-01-01 02:10:00,server-3,32768,19935,12832,60.84
2025-01-01 02:15:00,server-3,32768,17596,15171,53.7
2025-01-01 02:20:00,server-3,32768,19824,12943,60.5
2025-01-01 02:25:00,server-3,32768,25418,7349,77.57
2025-01-01 02:30:00,server-3,32768,19545,13222,59.65
2025-01-01 02:35:00,server-3,32768,22473,10294,68.58
2025-01-01 02:40:00,server-3,32768,18904,13863,57.69
2025-01-01 02:45:00,server-3,32768,23782,8985,72.58
2025-01-01 02:50:00,server-3,32768,23545,9222,71.86
2025-01-01 02:55:00,server-3,32768,27356,5411,83.49
2025-01-01 03:00:00,server-3,32768,20723,12044,63.24
2025-01-01 03:05:00,server-3,32768,23490,9277,71.69
2025-01-01 03:10:00,server-3,32768,21620,11147,65.98
2025-01-01 03:15:00,server-3,32768,25545,7222,77.96
2025-01-01 03:20:00,server-3,32768,18943,13824,57.81
2025-01-01 03:25:00,server-3,32768,23740,9027,72.45
2025-01-01 03:30:00,server-3,32768,20661,12106,63.05
2025-01-01 03:35:00,server-3,32768,21088,11679,64.36
2025-01-01 03:40:00,server-3,32768,21599,11168,65.92
2025-01-01 03:45:00,server-3,32768,22125,10642,67.52
